label,int,x,y,z
C3,1,-0.5878,0,0.809
C4,2,0.5878,0,0.809
CZ,3,0,0,1
F3,4,-0.4591,0.58,0.673
F4,5,0.4591,0.58,0.673
F7,6,-0.7695,0.559,0.309
F8,7,0.7695,0.559,0.309
FP1,8,-0.2939,0.9045,0.309
FP2,9,0.2939,0.9045,0.309
FZ,11,0,0.5878,0.809
O1,12,-0.2939,-0.9045,0.309
O2,13,0.2939,-0.9045,0.309
OZ,14,0,-0.9511,0.309
P3,15,-0.4591,-0.58,0.673
P4,16,0.4591,-0.58,0.673
P7,17,-0.7695,-0.559,0.309
P8,18,0.7695,-0.559,0.309
PZ,19,0,-0.5878,0.809
T7,20,-0.9511,0,0.309
T8,21,0.9511,0,0.309
